sgRNA	Gene	R1_Bottom	R1_Top	R1_Unsorted	R2_Bottom	R2_Top	R2_Unsorted	R3_Bottom	R3_Top	R3_Unsorted
Nr0b1_ENSMUST00000026036_86191538_86191556	ENSMUST00000026036_Nr0b1	450.5393521615346	738.551006308401	612.6627659099216	363.3713458011396	333.4675024997112	390.53962244218974	577.0929410872305	783.7517900439806	611.4366193447032
Nr0b1_ENSMUST00000026036_86191529_86191547	ENSMUST00000026036_Nr0b1	930.2503170529527	1745.6660149107663	1242.7472218457178	1400.7910490702543	1721.8195269914665	1376.5982271719174	1101.8094601285902	1839.7227132711757	1305.284261296736
Nr0b1_ENSMUST00000026036_86191486_86191504	ENSMUST00000026036_Nr0b1	1064.2236495901957	1668.3521354625038	1216.614686806906	1153.7863578157032	1494.4980182451845	1127.386479149415	1026.5778720990668	1720.0659514324002	1243.25445933423
Gm5937_ENSMUST00000119715_77456380_77456398	ENSMUST00000119715_Gm5937	1506.1195609428758	1405.8918604934026	1265.9761418802173	1204.2850946944116	1187.3321779144646	1353.9426137153262	1622.7167848393412	1605.3948880035734	1774.938476155711
Gm5937_ENSMUST00000119715_77456314_77456296	ENSMUST00000119715_Gm5937	459.18279297038896	533.0588530380195	476.1928607072377	441.315048374798	495.03485582351493	567.4691751508061	511.384338884229	567.3724790521946	534.3424369055886
Gm5937_ENSMUST00000119715_77456281_77456263	ENSMUST00000119715_Gm5937	1364.5832176978854	1381.4769511939514	1245.6508368500301	1165.8621427214812	1266.2371644214386	1154.3574475501189	1140.8537020173303	1127.7649803304607	1292.878300904235
Gm5937_ENSMUST00000119715_77456209_77456227	ENSMUST00000119715_Gm5937	452.7002123637482	446.58938260246293	387.14866724165665	372.1537348235237	396.40362268979754	394.8549773863023	559.951566599491	547.4296854123986	512.1889362046935
Gm5937_ENSMUST00000119715_77456173_77456191	ENSMUST00000119715_Gm5937	265.7858048722722	181.07724397093028	262.29322205622236	232.73330909317704	214.17067766178636	219.0042634137141	221.88556975796158	207.4050538538778	211.78746670055665
Gm5937_ENSMUST00000119715_77456114_77456132	ENSMUST00000119715_Gm5937	715.2447269327	648.012384322936	695.8997293668779	768.4590394586035	826.6236681682982	777.842728676295	854.2118286390195	805.6888630477562	775.3725245313266
Pabpc5_ENSMUST00000040961_119927058_119927076	ENSMUST00000040961_Pabpc5	586.6735449009911	514.7476710634311	519.747085771924	317.2638034336234	275.22810769694473	296.6806524077408	556.1423722688822	496.575561630919	509.53051612058607
Pabpc5_ENSMUST00000040961_119927051_119927069	ENSMUST00000040961_Pabpc5	661.2232218773602	1293.9901928709176	1074.3375515955972	708.0801149297132	1096.215705400459	891.1207959592506	832.3089612380189	1378.0470405098997	973.8678908113462
