sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Ppp1r3fos_ENSMUST00000149124_7574238_7574256	ENSMUST00000149124_Ppp1r3fos	982.4795170979713	1080.4866808444367	958.5278147426242	1274.2210158790806	1380.175951227379	1106.3374040308345	1017.9108755229045
Dmrtc1b_ENSMUST00000113609_102711108_102711090	ENSMUST00000113609_Dmrtc1b	969.274147244504	978.8873608958594	1070.7578711088465	757.8859095718451	791.2378569707646	936.9294890386129	991.0023553995647
Timm8a1_ENSMUST00000054213_134541708_134541726	ENSMUST00000054213_Timm8a1	850.4258185632978	1092.8552937077418	1029.191183565801	925.6745547925638	1128.7192368256785	912.7283583254384	1130.157845180264
Atp11c_ENSMUST00000033480_60404137_60404155	ENSMUST00000033480_Atp11c	847.7847445926043	1124.6602982133836	1117.3125611570572	900.5467866677218	950.9979499553036	1048.4275555385955	915.6584990542138
Rgag4_ENSMUST00000113631_102071317_102071335	ENSMUST00000113631_Rgag4	1809.135669925028	1863.2431806221728	1854.7055981706806	2120.4594004705314	2184.6483721140225	1842.7432385888587	1843.6180358790973
1700111N16Rik_ENSMUST00000188663_70143748_70143730	ENSMUST00000188663_1700111N16Rik	839.8615226805239	615.7802261231172	771.4777207989205	624.1413372944606	748.6981872411536	650.8375509650143	665.7936693374888
Taz_ENSMUST00000146260_74281844_74281862	ENSMUST00000146260_Taz	1603.1319002109371	2489.625074913837	1974.417658294651	2299.5960700056944	1893.4879659646851	2275.7706131353025	1882.0587789124395
Nkap_ENSMUST00000016553_37126677_37126695	ENSMUST00000016553_Nkap	755.3471556183329	848.1334534837771	799.7430683281913	678.4497393707319	619.1885260643379	719.9836387169415	792.6481213475184
L1cam_ENSMUST00000141221_73896375_73896393	ENSMUST00000141221_L1cam	2527.5077899536523	3082.435020005102	2967.0301568225723	2865.376139397297	3038.2777446882164	2875.6129243832706	2917.6523962306815
Ubl4a_ENSMUST00000155676_74368794_74368776	ENSMUST00000155676_Ubl4a	1022.0956266583735	1086.6709872760894	916.129793448718	855.1546894099429	1047.421201342422	987.0604026587602	1039.437691621576
Maged2_ENSMUST00000124537_150812514_150812532	ENSMUST00000124537_Maged2	1576.7211605040025	1440.059926227663	1752.451546814789	1774.3446588799668	2061.7559928951464	1673.3353235966372	1805.9461077064218
Aifm1_ENSMUST00000156795_48483060_48483078	ENSMUST00000156795_Aifm1	340.6985422194578	333.9525473092372	285.14747654529066	335.5772904414373	344.09866181285344	369.0672433759112	333.66564952941127
